,vaga,empresa,localização,salário,requisitos
37,SERVENTE DE MANUTENÇÃO,Malka RH,"Guarulhos, SP",R$ 1.747 por mês,"02 VAGAS - SERVENTE DE MANUTENÇÃO Local de Trabalho: Guarulhos - SP Regime Contratação: Temporário (com possibilidade de efetivação) Salário: R$1.747,27 por…"
38,Auxiliar de Instalação - Região Tatuapé,Novo Tempo RH,"Tatuapé, SP",R$ 1.400 - R$ 1.401 por mês,"Trabalhar em equipe, prestando auxílio ao instalador, de modo a fazer corretamente o manuseio e estocagem do produto, visando evitar possíveis avarias.…"
39,Assistente de Logística,PetCare,"São Paulo, SP",,Desenvolver real-time alternativas de logísticas para atender cliente internos e externos.Monitorar rotas e moto-fretes real-time em suas atividades.
40,Desenvolvedor de Embarcados,Desenvolver RH,"Home office in São Paulo, SP",R$ 5.000 - R$ 6.000 por mês,Ter trabalhado com equipamentos médicos;A vaga é para atuar em nosso C*entro de Pesquisa e Desenvolvimento* em São Paulo-SP (próximo ao metrô Santa Cruz) e tem…
41,Auxiliar Administrativo de Obra,Emccamp Residencial,"Butantã, SP",R$ 1.500 - R$ 1.900 por mês,Arquivar documentação em plataforma digital ( SOC GED );Recebimento de material através de nota fiscal;
42,Analista de RH Pleno,Divulgador,"São Paulo, SP",R$ 3.500 - R$ 3.596 por mês,Apoiar a coordenação na gestão do Headcount/FTE das unidades;Realizar atendimento em geral relacionado aos diversos assuntos de gestão de pessoas;
43,Estagiário Recursos Humanos,Leadec Brasil,"São Caetano do Sul, SP",,"Suporte ao RH local, gestão de ponto eletrônico, arquivo de documentos, relatórios gerais. Escolaridade Mínima: Ensino Superior Restaurante no local VT…"
44,Assistente de Folha de Pagamento (Projetos),TMF Group,"Home office in Barueri, SP",,"Validar a parametrização no sistema ERP Protheus da folha de pagamento, beneficios, ponto, contábil e HRP;Na TMF Group, nosso pessoal é o que nos torna quem…"
45,Estágio em Recursos Humanos | Folha de Pagamento,Avenue,"Hybrid remote in São Paulo, SP",,"O nosso maior ativo são as nossas pessoas.A gente sabe que é o nosso time de fundadores que faz tudo isso aqui funcionar, e a área de People é responsável por…"
46,Analista de Comércio Exterior,CDT RH Consultoria,"São Paulo, SP",R$ 4.000 - R$ 5.174 por mês,"Irá atuar com toda parte de importação, exportação, contato com despachante, entre outros. Tipo de vaga: Tempo integral, Efetivo CLT Salário: R$4.000,00 - R…"
47,Vendedor de veículos novos e seminovos,Vigorito,"Guarulhos, SP",R$ 2.118 - R$ 8.000 por mês,"Não é necessário experiência com veículos, apenas na área comercial/vendas no geral.As entrevistas com o RH serão realizadas por video chamada."
48,Analista de RH,Techware Systems,"São Paulo, SP",R$ 5.000 por mês,Conduzir todo o ciclo de recrutamento para as áreas da empresa (setor tecnologia) através da plataforma Kenoby e consultorias de R&S.
49,Líder de loja,Kbr RH,"São Paulo, SP",R$ 2.200 por mês,"Supervisionar os processos operacionais da loja. Realizar a gestão de equipes, alinhando melhorias e correções de processos sempre que necessário. Verificar…"
50,OP. DE PRENSAS DE PARAFUSOS E LAMINADOR,Optima RH,"Mauá, SP",R$ 3.500 - R$ 4.000 por mês,Realizar o controle dimensional das peças seguindo as especificações dos desenhos.
51,Analista de planejamento orçamentário,Aes Consultoria Em Rh,"São Paulo, SP",R$ 5.000 por mês,Estamos recrutando residentes da zona oeste de São Paulo e cidades próximas.*.
52,Propagandista Farmacêutico,Ultra+ RH Consultoria,"São Paulo, SP",R$ 2.000 por mês,"Realizar visitas a clínicas médicas.Realizar Venda de Toxina botulínica, preenchedores, bioestimuladores e Fios Faciais;"
53,Estágio em RH - Atração e Seleção,Grupo Ultra,"São Paulo, SP",,Trocar conhecimentos diários com um time referência no mercado e ter a oportunidade de trabalhar em uma Holding que potencializa negócios que impactam a vida…
54,Analista de Recursos Humanos Pl - Com foco em Carreiras e ex...,Assaí Atacadista - O atacadista que mais cresce no...,"São Paulo, SP",,Pacote office intermediário - excel e power point;Compra com desconto em nossas lojas se utilizar o cartão da empresa;
